# DerivedCoreProperties-16.0.0.txt
# Date: 2024-05-31, 18:09:32 GMT
# © 2024 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
#   For documentation, see https://www.unicode.org/reports/tr44/

# ================================================

# Derived Property: Math
#  Generated from: Sm + Other_Math

002B          ; Math
FFE2          ; Math
FFE9..FFEC    ; Math
10D8E..10D8F  ; Math
1D400..1D454  ; Math
1D456..1D49C  ; Math
1D49E..1D49F  ; Math
1D4A2         ; Math
1D4A5..1D4A6  ; Math
1D4A9..1D4AC  ; Math
1D4AE..1D4B9  ; Math
1D4BB         ; Math
1D4BD..1D4C3  ; Math
1D4C5..1D505  ; Math
1D507..1D50A  ; Math
1D50D..1D514  ; Math
1D516..1D51C  ; Math
1D51E..1D539  ; Math
1D53B..1D53E  ; Math
1D540..1D544  ; Math
1D546         ; Math
1D54A..1D550  ; Math
1D552..1D6A5  ; Math
1D6A8..1D6C0  ; Math
1D6C1         ; Math
1D6C2..1D6DA  ; Math
1D6DB         ; Math
1D6DC..1D6FA  ; Math
1D6FB         ; Math
1D6FC..1D714  ; Math
1D715         ; Math
1D716..1D734  ; Math
1D735         ; Math
1D736..1D74E  ; Math
1D74F         ; Math
1D750..1D76E  ; Math
1D76F         ; Math
1D770..1D788  ; Math
1D789         ; Math
1D78A..1D7A8  ; Math
1D7A9         ; Math
1D7AA..1D7C2  ; Math
1D7C3         ; Math
1D7C4..1D7CB  ; Math
1D7CE..1D7FF  ; Math
1EE00..1EE03  ; Math
1EE05..1EE1F  ; Math
1EE21..1EE22  ; Math
1EE24         ; Math
1EE27         ; Math
1EE29..1EE32  ; Math
1EE34..1EE37  ; Math
1EE39         ; Math
1EE3B         ; Math
1EE42         ; Math
1EE47         ; Math
1EE49         ; Math
1EE4B         ; Math
1EE4D..1EE4F  ; Math
1EE51..1EE52  ; Math
1EE54         ; Math
1EE57         ; Math
1EE59         ; Math
1EE5B         ; Math
1EE5D         ; Math
1EE5F         ; Math
1EE61..1EE62  ; Math
1EE64         ; Math
1EE67..1EE6A  ; Math
1EE6C..1EE72  ; Math
1EE74..1EE77  ; Math
1EE79..1EE7C  ; Math
1EE7E         ; Math
1EE80..1EE89  ; Math
1EE8B..1EE9B  ; Math
1EEA1..1EEA3  ; Math
1EEA5..1EEA9  ; Math
1EEAB..1EEBB  ; Math
1EEF0..1EEF1  ; Math

# Total code points: 2312

# ================================================

# Derived Property: Alphabetic
#  Generated from: Uppercase + Lowercase + Lt + Lm + Lo + Nl + Other_Alphabetic

0041..005A    ; Alphabetic
0061..007A    ; Alphabetic
00AA          ; Alphabetic
00B5          ; Alphabetic
00BA          ; Alphabetic
00C0..00D6    ; Alphabetic
00D8..00F6    ; Alphabetic
00F8..01BA    ; Alphabetic
01BB          ; Alphabetic
01BC..01BF    ; Alphabetic
01C0..01C3    ; Alphabetic
01C4..0293    ; Alphabetic
0294          ; Alphabetic
0295..02AF    ; Alphabetic
02B0..02C1    ; Alphabetic
02C6..02D1    ; Alphabetic
02E0..02E4    ; Alphabetic
02EC          ; Alphabetic
02EE          ; Alphabetic
0345          ; Alphabetic
0363..036F    ; Alphabetic
0370..0373    ; Alphabetic
0374          ; Alphabetic
0376..0377    ; Alphabetic
037A          ; Alphabetic
037B..037D    ; Alphabetic
037F          ; Alphabetic
0386          ; Alphabetic
0388..038A    ; Alphabetic
038C          ; Alphabetic
038E..03A1    ; Alphabetic
03A3..03F5    ; Alphabetic
03F7..0481    ; Alphabetic
048A..052F    ; Alphabetic
0531..0556    ; Alphabetic
0559          ; Alphabetic
0560..0588    ; Alphabetic
05B0..05BD    ; Alphabetic
05BF          ; Alphabetic
05C1..05C2    ; Alphabetic
05C4..05C5    ; Alphabetic
05C7          ; Alphabetic
05D0..05EA    ; Alphabetic
05EF..05F2    ; Alphabetic
0610..061A    ; Alphabetic
0620..063F    ; Alphabetic
0640          ; Alphabetic
0641..064A    ; Alphabetic
064B..0657    ; Alphabetic
0659..065F    ; Alphabetic
066E..066F    ; Alphabetic
0670          ; Alphabetic
0671..06D3    ; Alphabetic
06D5          ; Alphabetic
06D6..06DC    ; Alphabetic
06E1..06E4    ; Alphabetic
06E5..06E6    ; Alphabetic
06E7..06E8    ; Alphabetic
06ED          ; Alphabetic
06EE..06EF    ; Alphabetic
06FA..06FC    ; Alphabetic
06FF          ; Alphabetic
0710          ; Alphabetic
0711          ; Alphabetic
0712..072F    ; Alphabetic
0730..073F    ; Alphabetic
074D..07A5    ; Alphabetic
07A6..07B0    ; Alphabetic
07B1          ; Alphabetic
07CA..07EA    ; Alphabetic
07F4..07F5    ; Alphabetic
07FA          ; Alphabetic
0800..0815    ; Alphabetic
0816..0817    ; Alphabetic
081A          ; Alphabetic
081B..0823    ; Alphabetic
0824          ; Alphabetic
0825..0827    ; Alphabetic
0828          ; Alphabetic
0829..082C    ; Alphabetic
0840..0858    ; Alphabetic
0860..086A    ; Alphabetic
0870..0887    ; Alphabetic
0889..088E    ; Alphabetic
0897          ; Alphabetic
08A0..08C8    ; Alphabetic
08C9          ; Alphabetic
08D4..08DF    ; Alphabetic
08E3..08E9    ; Alphabetic
08F0..0902    ; Alphabetic
0903          ; Alphabetic
0904..0939    ; Alphabetic
093A          ; Alphabetic
093B          ; Alphabetic
093D          ; Alphabetic
093E..0940    ; Alphabetic
0941..0948    ; Alphabetic
0949..094C    ; Alphabetic
094E..094F    ; Alphabetic
0950          ; Alphabetic
0955..0957    ; Alphabetic
0958..0961    ; Alphabetic
0962..0963    ; Alphabetic
0971          ; Alphabetic
0972..0980    ; Alphabetic
0981          ; Alphabetic
0982..0983    ; Alphabetic
0985..098C    ; Alphabetic
098F..0990    ; Alphabetic
0993..09A8    ; Alphabetic
09AA..09B0    ; Alphabetic
09B2          ; Alphabetic
09B6..09B9    ; Alphabetic
09BD          ; Alphabetic
09BE..09C0    ; Alphabetic
09C1..09C4    ; Alphabetic
09C7..09C8    ; Alphabetic
09CB..09CC    ; Alphabetic
09CE          ; Alphabetic
09D7          ; Alphabetic
09DC..09DD    ; Alphabetic
09DF..09E1    ; Alphabetic
09E2..09E3    ; Alphabetic
09F0..09F1    ; Alphabetic
09FC          ; Alphabetic
0A01..0A02    ; Alphabetic
0A03          ; Alphabetic
0A05..0A0A    ; Alphabetic
0A0F..0A10    ; Alphabetic
0A13..0A28    ; Alphabetic
0A2A..0A30    ; Alphabetic
0A32..0A33    ; Alphabetic
0A35..0A36    ; Alphabetic
0A38..0A39    ; Alphabetic
0A3E..0A40    ; Alphabetic
0A41..0A42    ; Alphabetic
0A47..0A48    ; Alphabetic
0A4B..0A4C    ; Alphabetic
0A51          ; Alphabetic
0A59..0A5C    ; Alphabetic
0A5E          ; Alphabetic
0A70..0A71    ; Alphabetic
0A72..0A74    ; Alphabetic
0A75          ; Alphabetic
0A81..0A82    ; Alphabetic
0A83          ; Alphabetic
0A85..0A8D    ; Alphabetic
0A8F..0A91    ; Alphabetic
0A93..0AA8    ; Alphabetic
0AAA..0AB0    ; Alphabetic
0AB2..0AB3    ; Alphabetic
0AB5..0AB9    ; Alphabetic
0ABD          ; Alphabetic
0ABE..0AC0    ; Alphabetic
0AC1..0AC5    ; Alphabetic
0AC7..0AC8    ; Alphabetic
0AC9          ; Alphabetic
0ACB..0ACC    ; Alphabetic
0AD0          ; Alphabetic
0AE0..0AE1    ; Alphabetic
0AE2..0AE3    ; Alphabetic
0AF9          ; Alphabetic
0AFA..0AFC    ; Alphabetic
0B01          ; Alphabetic
0B02..0B03    ; Alphabetic
0B05..0B0C    ; Alphabetic
0B0F..0B10    ; Alphabetic
0B13..0B28    ; Alphabetic
0B2A..0B30    ; Alphabetic
0B32..0B33    ; Alphabetic
0B35..0B39    ; Alphabetic
0B3D          ; Alphabetic
0B3E          ; Alphabetic
0B3F          ; Alphabetic
0B40          ; Alphabetic
0B41..0B44    ; Alphabetic
0B47..0B48    ; Alphabetic
0B4B..0B4C    ; Alphabetic
0B56          ; Alphabetic
0B57          ; Alphabetic
0B5C..0B5D    ; Alphabetic
0B5F..0B61    ; Alphabetic
0B62..0B63    ; Alphabetic
0B71          ; Alphabetic
0B82          ; Alphabetic
0B83          ; Alphabetic
0B85..0B8A    ; Alphabetic
0B8E..0B90    ; Alphabetic
0B92..0B95    ; Alphabetic
0B99..0B9A    ; Alphabetic
0B9C          ; Alphabetic
0B9E..0B9F    ; Alphabetic
0BA3..0BA4    ; Alphabetic
0BA8..0BAA    ; Alphabetic
0BAE..0BB9    ; Alphabetic
0BBE..0BBF    ; Alphabetic
0BC0          ; Alphabetic
0BC1..0BC2    ; Alphabetic
0BC6..0BC8    ; Alphabetic
0BCA..0BCC    ; Alphabetic
0BD0          ; Alphabetic
0BD7          ; Alphabetic
0C00          ; Alphabetic
0C01..0C03    ; Alphabetic
0C04          ; Alphabetic
0C05..0C0C    ; Alphabetic
0C0E..0C10    ; Alphabetic
0C12..0C28    ; Alphabetic
0C2A..0C39    ; Alphabetic
0C3D          ; Alphabetic
0C3E..0C40    ; Alphabetic
0C41..0C44    ; Alphabetic
0C46..0C48    ; Alphabetic
0C4A..0C4C    ; Alphabetic
0C55..0C56    ; Alphabetic
0C58..0C5A    ; Alphabetic
0C5D          ; Alphabetic
0C60..0C61    ; Alphabetic
0C62..0C63    ; Alphabetic
0C80          ; Alphabetic
0C81          ; Alphabetic
0C82..0C83    ; Alphabetic
0C85..0C8C    ; Alphabetic
0C8E..0C90    ; Alphabetic
0C92..0CA8    ; Alphabetic
0CAA..0CB3    ; Alphabetic
0CB5..0CB9    ; Alphabetic
0CBD          ; Alphabetic
0CBE          ; Alphabetic
0CBF          ; Alphabetic
0CC0..0CC4    ; Alphabetic
0CC6          ; Alphabetic
0CC7..0CC8    ; Alphabetic
0CCA..0CCB    ; Alphabetic
0CCC          ; Alphabetic
0CD5..0CD6    ; Alphabetic
0CDD..0CDE    ; Alphabetic
0CE0..0CE1    ; Alphabetic
0CE2..0CE3    ; Alphabetic
0CF1..0CF2    ; Alphabetic
0CF3          ; Alphabetic
0D00..0D01    ; Alphabetic
0D02..0D03    ; Alphabetic
0D04..0D0C    ; Alphabetic
0D0E..0D10    ; Alphabetic
0D12..0D3A    ; Alphabetic
0D3D          ; Alphabetic
0D3E..0D40    ; Alphabetic
0D41..0D44    ; Alphabetic
0D46..0D48    ; Alphabetic
0D4A..0D4C    ; Alphabetic
0D4E          ; Alphabetic
0D54..0D56    ; Alphabetic
0D57          ; Alphabetic
0D5F..0D61    ; Alphabetic
0D62..0D63    ; Alphabetic
0D7A..0D7F    ; Alphabetic
0D81          ; Alphabetic
0D82..0D83    ; Alphabetic
0D85..0D96    ; Alphabetic
0D9A..0DB1    ; Alphabetic
0DB3..0DBB    ; Alphabetic
0DBD          ; Alphabetic
0DC0..0DC6    ; Alphabetic
0DCF..0DD1    ; Alphabetic
0DD2..0DD4    ; Alphabetic
0DD6          ; Alphabetic
0DD8..0DDF    ; Alphabetic
0DF2..0DF3    ; Alphabetic
0E01..0E30    ; Alphabetic
0E31          ; Alphabetic
0E32..0E33    ; Alphabetic
0E34..0E3A    ; Alphabetic
0E40..0E45    ; Alphabetic
0E46          ; Alphabetic
0E4D          ; Alphabetic
0E81..0E82    ; Alphabetic
0E84          ; Alphabetic
0E86..0E8A    ; Alphabetic
0E8C..0EA3    ; Alphabetic
0EA5          ; Alphabetic
0EA7..0EB0    ; Alphabetic
0EB1          ; Alphabetic
0EB2..0EB3    ; Alphabetic
0EB4..0EB9    ; Alphabetic
0EBB..0EBC    ; Alphabetic
0EBD          ; Alphabetic
0EC0..0EC4    ; Alphabetic
0EC6          ; Alphabetic
0ECD          ; Alphabetic
0EDC..0EDF    ; Alphabetic
0F00          ; Alphabetic
0F40..0F47    ; Alphabetic
0F49..0F6C    ; Alphabetic
0F71..0F7E    ; Alphabetic
0F7F          ; Alphabetic
0F80..0F83    ; Alphabetic
0F88..0F8C    ; Alphabetic
0F8D..0F97    ; Alphabetic
0F99..0FBC    ; Alphabetic
1000..102A    ; Alphabetic
102B..102C    ; Alphabetic
102D..1030    ; Alphabetic
1031          ; Alphabetic
1032..1036    ; Alphabetic
1038          ; Alphabetic
103B..103C    ; Alphabetic
103D..103E    ; Alphabetic
103F          ; Alphabetic
1050..1055    ; Alphabetic
1056..1057    ; Alphabetic
1058..1059    ; Alphabetic
105A..105D    ; Alphabetic
105E..1060    ; Alphabetic
1061          ; Alphabetic
1062..1064    ; Alphabetic
1065..1066    ; Alphabetic
1067..106D    ; Alphabetic
106E..1070    ; Alphabetic
1071..1074    ; Alphabetic
1075..1081    ; Alphabetic
1082          ; Alphabetic
1083..1084    ; Alphabetic
1085..1086    ; Alphabetic
1087..108C    ; Alphabetic
108D          ; Alphabetic
108E          ; Alphabetic
108F          ; Alphabetic
109A..109C    ; Alphabetic
109D          ; Alphabetic
10A0..10C5    ; Alphabetic
10C7          ; Alphabetic
10CD          ; Alphabetic
10D0..10FA    ; Alphabetic
10FC          ; Alphabetic
10FD..10FF    ; Alphabetic
1100..1248    ; Alphabetic
124A..124D    ; Alphabetic
1250..1256    ; Alphabetic
1258          ; Alphabetic
125A..125D    ; Alphabetic
1260..1288    ; Alphabetic
128A..128D    ; Alphabetic
1290..12B0    ; Alphabetic
12B2..12B5    ; Alphabetic
12B8..12BE    ; Alphabetic
12C0          ; Alphabetic
12C2..12C5    ; Alphabetic
12C8..12D6    ; Alphabetic
12D8..1310    ; Alphabetic
1312..1315    ; Alphabetic
1318..135A    ; Alphabetic
1380..138F    ; Alphabetic
13A0..13F5    ; Alphabetic
13F8..13FD    ; Alphabetic
1401..166C    ; Alphabetic
166F..167F    ; Alphabetic
1681..169A    ; Alphabetic
16A0..16EA    ; Alphabetic
16EE..16F0    ; Alphabetic
16F1..16F8    ; Alphabetic
1700..1711    ; Alphabetic
1712..1713    ; Alphabetic
171F..1731    ; Alphabetic
1732..1733    ; Alphabetic
1740..1751    ; Alphabetic
1752..1753    ; Alphabetic
1760..176C    ; Alphabetic
176E..1770    ; Alphabetic
1772..1773    ; Alphabetic
1780..17B3    ; Alphabetic
17B6          ; Alphabetic
17B7..17BD    ; Alphabetic
17BE..17C5    ; Alphabetic
17C6          ; Alphabetic
17C7..17C8    ; Alphabetic
17D7          ; Alphabetic
17DC          ; Alphabetic
1820..1842    ; Alphabetic
1843          ; Alphabetic
1844..1878    ; Alphabetic
1880..1884    ; Alphabetic
1885..1886    ; Alphabetic
1887..18A8    ; Alphabetic
18A9          ; Alphabetic
18AA          ; Alphabetic
18B0..18F5    ; Alphabetic
1900..191E    ; Alphabetic
1920..1922    ; Alphabetic
1923..1926    ; Alphabetic
1927..1928    ; Alphabetic
1929..192B    ; Alphabetic
1930..1931    ; Alphabetic
1932          ; Alphabetic
1933..1938    ; Alphabetic
1950..196D    ; Alphabetic
1970..1974    ; Alphabetic
1980..19AB    ; Alphabetic
19B0..19C9    ; Alphabetic
1A00..1A16    ; Alphabetic
1A17..1A18    ; Alphabetic
1A19..1A1A    ; Alphabetic
1A1B          ; Alphabetic
1A20..1A54    ; Alphabetic
1A55          ; Alphabetic
1A56          ; Alphabetic
1A57          ; Alphabetic
1A58..1A5E    ; Alphabetic
1A61          ; Alphabetic
1A62          ; Alphabetic
1A63..1A64    ; Alphabetic
1A65..1A6C    ; Alphabetic
1A6D..1A72    ; Alphabetic
1A73..1A74    ; Alphabetic
1AA7          ; Alphabetic
1ABF..1AC0    ; Alphabetic
1ACC..1ACE    ; Alphabetic
1B00..1B03    ; Alphabetic
1B04          ; Alphabetic
1B05..1B33    ; Alphabetic
1B35          ; Alphabetic
1B36..1B3A    ; Alphabetic
1B3B          ; Alphabetic
1B3C          ; Alphabetic
1B3D..1B41    ; Alphabetic
1B42          ; Alphabetic
1B43          ; Alphabetic
1B45..1B4C    ; Alphabetic
1B80..1B81    ; Alphabetic
1B82          ; Alphabetic
1B83..1BA0    ; Alphabetic
1BA1          ; Alphabetic
1BA2..1BA5    ; Alphabetic
1BA6..1BA7    ; Alphabetic
1BA8..1BA9    ; Alphabetic
1BAC..1BAD    ; Alphabetic
1BAE..1BAF    ; Alphabetic
1BBA..1BE5    ; Alphabetic
1BE7          ; Alphabetic
1BE8..1BE9    ; Alphabetic
1BEA..1BEC    ; Alphabetic
1BED          ; Alphabetic
1BEE          ; Alphabetic
1BEF..1BF1    ; Alphabetic
1C00..1C23    ; Alphabetic
1C24..1C2B    ; Alphabetic
1C2C..1C33    ; Alphabetic
1C34..1C35    ; Alphabetic
1C36          ; Alphabetic
1C4D..1C4F    ; Alphabetic
1C5A..1C77    ; Alphabetic
1C78..1C7D    ; Alphabetic
1C80..1C8A    ; Alphabetic
1C90..1CBA    ; Alphabetic
1CBD..1CBF    ; Alphabetic
1CE9..1CEC    ; Alphabetic
1CEE..1CF3    ; Alphabetic
1CF5..1CF6    ; Alphabetic
1CFA          ; Alphabetic
1D00..1D2B    ; Alphabetic
1D2C..1D6A    ; Alphabetic
1D6B..1D77    ; Alphabetic
1D78          ; Alphabetic
1D79..1D9A    ; Alphabetic
1D9B..1DBF    ; Alphabetic
1DD3..1DF4    ; Alphabetic
1E00..1F15    ; Alphabetic
1F18..1F1D    ; Alphabetic
1F20..1F45    ; Alphabetic
1F48..1F4D    ; Alphabetic
1F50..1F57    ; Alphabetic
1F59          ; Alphabetic
1F5B          ; Alphabetic
1F5D          ; Alphabetic
1F5F..1F7D    ; Alphabetic
1F80..1FB4    ; Alphabetic
1FB6..1FBC    ; Alphabetic
1FBE          ; Alphabetic
1FC2..1FC4    ; Alphabetic
1FC6..1FCC    ; Alphabetic
1FD0..1FD3    ; Alphabetic
1FD6..1FDB    ; Alphabetic
1FE0..1FEC    ; Alphabetic
1FF2..1FF4    ; Alphabetic
1FF6..1FFC    ; Alphabetic
2071          ; Alphabetic
207F          ; Alphabetic
2090..209C    ; Alphabetic
2102          ; Alphabetic
2107          ; Alphabetic
210A..2113    ; Alphabetic
2115          ; Alphabetic
2119..211D    ; Alphabetic
2124          ; Alphabetic
2126          ; Alphabetic
2128          ; Alphabetic
212A..212D    ; Alphabetic
212F..2134    ; Alphabetic
2135..2138    ; Alphabetic
2139          ; Alphabetic
213C..213F    ; Alphabetic
2145..2149    ; Alphabetic
214E          ; Alphabetic
2160..2182    ; Alphabetic
2183..2184    ; Alphabetic
2185..2188    ; Alphabetic
24B6..24E9    ; Alphabetic
2C00..2C7B    ; Alphabetic
2C7C..2C7D    ; Alphabetic
2C7E..2CE4    ; Alphabetic
2CEB..2CEE    ; Alphabetic
2CF2..2CF3    ; Alphabetic
2D00..2D25    ; Alphabetic
2D27          ; Alphabetic
2D2D          ; Alphabetic
2D30..2D67    ; Alphabetic
2D6F          ; Alphabetic
2D80..2D96    ; Alphabetic
2DA0..2DA6    ; Alphabetic
2DA8..2DAE    ; Alphabetic
2DB0..2DB6    ; Alphabetic
2DB8..2DBE    ; Alphabetic
2DC0..2DC6    ; Alphabetic
2DC8..2DCE    ; Alphabetic
2DD0..2DD6    ; Alphabetic
2DD8..2DDE    ; Alphabetic
2DE0..2DFF    ; Alphabetic
2E2F          ; Alphabetic
3005          ; Alphabetic
3006          ; Alphabetic
3007          ; Alphabetic
3021..3029    ; Alphabetic
3031..3035    ; Alphabetic
3038..303A    ; Alphabetic
303B          ; Alphabetic
303C          ; Alphabetic
3041..3096    ; Alphabetic
309D..309E    ; Alphabetic
309F          ; Alphabetic
30A1..30FA    ; Alphabetic
30FC..30FE    ; Alphabetic
30FF          ; Alphabetic
3105..312F    ; Alphabetic
3131..318E    ; Alphabetic
31A0..31BF    ; Alphabetic
31F0..31FF    ; Alphabetic
3400..4DBF    ; Alphabetic
4E00..A014    ; Alphabetic
A015          ; Alphabetic
A016..A48C    ; Alphabetic
A4D0..A4F7    ; Alphabetic
A4F8..A4FD    ; Alphabetic
A500..A60B    ; Alphabetic
A60C          ; Alphabetic
A610..A61F    ; Alphabetic
A62A..A62B    ; Alphabetic
A640..A66D    ; Alphabetic
A66E          ; Alphabetic
A674..A67B    ; Alphabetic
A67F          ; Alphabetic
A680..A69B    ; Alphabetic
A69C..A69D    ; Alphabetic
A69E..A69F    ; Alphabetic
A6A0..A6E5    ; Alphabetic
A6E6..A6EF    ; Alphabetic
A717..A71F    ; Alphabetic
A722..A76F    ; Alphabetic
A770          ; Alphabetic
A771..A787    ; Alphabetic
A788          ; Alphabetic
A78B..A78E    ; Alphabetic
A78F          ; Alphabetic
A790..A7CD    ; Alphabetic
A7D0..A7D1    ; Alphabetic
A7D3          ; Alphabetic
A7D5..A7DC    ; Alphabetic
A7F2..A7F4    ; Alphabetic
A7F5..A7F6    ; Alphabetic
A7F7          ; Alphabetic
A7F8..A7F9    ; Alphabetic
A7FA          ; Alphabetic
A7FB..A801    ; Alphabetic
A802          ; Alphabetic
A803..A805    ; Alphabetic
A807..A80A    ; Alphabetic
A80B          ; Alphabetic
A80C..A822    ; Alphabetic
A823..A824    ; Alphabetic
A825..A826    ; Alphabetic
A827          ; Alphabetic
A840..A873    ; Alphabetic
A880..A881    ; Alphabetic
A882..A8B3    ; Alphabetic
A8B4..A8C3    ; Alphabetic
A8C5          ; Alphabetic
A8F2..A8F7    ; Alphabetic
A8FB          ; Alphabetic
A8FD..A8FE    ; Alphabetic
A8FF          ; Alphabetic
A90A..A925    ; Alphabetic
A926..A92A    ; Alphabetic
A930..A946    ; Alphabetic
A947..A951    ; Alphabetic
A952          ; Alphabetic
A960..A97C    ; Alphabetic
A980..A982    ; Alphabetic
A983          ; Alphabetic
A984..A9B2    ; Alphabetic
A9B4..A9B5    ; Alphabetic
A9B6..A9B9    ; Alphabetic
A9BA..A9BB    ; Alphabetic
A9BC..A9BD    ; Alphabetic
A9BE..A9BF    ; Alphabetic
A9CF          ; Alphabetic
A9E0..A9E4    ; Alphabetic
A9E5          ; Alphabetic
A9E6          ; Alphabetic
A9E7..A9EF    ; Alphabetic
A9FA..A9FE    ; Alphabetic
AA00..AA28    ; Alphabetic
AA29..AA2E    ; Alphabetic
AA2F..AA30    ; Alphabetic
AA31..AA32    ; Alphabetic
AA33..AA34    ; Alphabetic
AA35..AA36    ; Alphabetic
AA40..AA42    ; Alphabetic
AA43          ; Alphabetic
AA44..AA4B    ; Alphabetic
AA4C          ; Alphabetic
AA4D          ; Alphabetic
AA60..AA6F    ; Alphabetic
AA70          ; Alphabetic
AA71..AA76    ; Alphabetic
AA7A          ; Alphabetic
AA7B          ; Alphabetic
AA7C          ; Alphabetic
AA7D          ; Alphabetic
AA7E..AAAF    ; Alphabetic
AAB0          ; Alphabetic
AAB1          ; Alphabetic
AAB2..AAB4    ; Alphabetic
AAB5..AAB6    ; Alphabetic
AAB7..AAB8    ; Alphabetic
AAB9..AABD    ; Alphabetic
AABE          ; Alphabetic
AAC0          ; Alphabetic
AAC2          ; Alphabetic
AADB..AADC    ; Alphabetic
AADD          ; Alphabetic
AAE0..AAEA    ; Alphabetic
AAEB          ; Alphabetic
AAEC..AAED    ; Alphabetic
AAEE..AAEF    ; Alphabetic
AAF2          ; Alphabetic
AAF3..AAF4    ; Alphabetic
AAF5          ; Alphabetic
AB01..AB06    ; Alphabetic
AB09..AB0E    ; Alphabetic
AB11..AB16    ; Alphabetic
AB20..AB26    ; Alphabetic
AB28..AB2E    ; Alphabetic
AB30..AB5A    ; Alphabetic
AB5C..AB5F    ; Alphabetic
AB60..AB68    ; Alphabetic
AB69          ; Alphabetic
AB70..ABBF    ; Alphabetic
ABC0..ABE2    ; Alphabetic
ABE3..ABE4    ; Alphabetic
ABE5          ; Alphabetic
ABE6..ABE7    ; Alphabetic
ABE8          ; Alphabetic
ABE9..ABEA    ; Alphabetic
AC00..D7A3    ; Alphabetic
D7B0..D7C6    ; Alphabetic
D7CB..D7FB    ; Alphabetic
F882          ; Alphabetic
F89A..F89E    ; Alphabetic
F8A2..F8A7    ; Alphabetic
F8B8          ; Alphabetic
F8C1..F8D6    ; Alphabetic
